;co2;humidity;temperature;timestamp;month;day;time
5;430;46.0813;20.4885;5;10;13;00:41:39
6;423;46.0812;20.4884;5;10;13;01:31:48
7;425;46.0814;20.4877;5;10;13;04:03:26
8;425;46081;20.4878;5;10;13;04:16:19
9;422;46.1042;20.4866;5;10;13;05:19:39
10;429;51.2005;20.4896;5;10;13;08:24:17
11;419;51.2025;20.4899;5;10;13;08:39:22
12;422;51.2029;20.49;5;10;13;08:41:36
13;421;51.2025;20.49;5;10;13;08:43:06
14;419;51.2033;20.4903;5;10;13;08:50:30
15;420;51.2048;20.4905;5;10;13;08:57:07
16;421;51.2043;20.4905;5;10;13;08:58:19
17;421;51.2057;20.4908;5;10;13;09:09:53
18;419;51.2057;20.4909;5;10;13;09:12:08
19;417;51.2071;20491;5;10;13;09:19:42
20;422;51.2084;20.4911;5;10;13;09:23:20
21;418;51.2082;20.4911;5;10;13;09:24:41
22;425;51.2088;20.4912;5;10;13;09:26:54
23;419;51.2098;20.4912;5;10;13;09:29:43
24;414;51.2101;20.4918;5;10;13;09:54:26
25;417;51.2096;20.4922;5;10;13;10:07:50
26;412;51.2097;20.4922;5;10;13;10:11:58
27;416;51.2093;20.4924;5;10;13;10:15:07
28;418;51.2089;20.4923;5;10;13;10:21:35
29;413;51.2064;20.4924;5;10;13;10:37:34
30;410;51.2051;20.4924;5;10;13;10:52:05
31;415;51.2052;20.4924;5;10;13;10:56:47
32;417;51.2044;20.4924;5;10;13;11:00:53
33;421;51.2046;20.4924;5;10;13;11:02:22
34;424;51.2047;20.4924;5;10;13;11:03:57
35;414;51.2049;20.4923;5;10;13;11:07:07
36;419;51.2061;20492;5;10;13;11:44:10
37;425;51.2171;20.4889;5;10;13;17:48:20
38;448;51.2136;20.4894;5;10;13;19:10:56
39;457;51.2128;20.4892;5;10;13;19:30:23
40;481;51.2111;20.4892;5;10;13;20:56:08
41;490;51.2098;20.4891;5;10;13;21:29:14
42;492;51.2097;20.4892;5;10;13;21:44:03
43;497;51.2097;20489;5;10;13;21:56:49
44;489;51.2086;20.4892;5;10;13;22:01:57
45;492;51.2085;20.4892;5;10;13;22:04:25
46;497;51.2094;20.4891;5;10;13;22:08:55
47;497;51.2085;20489;5;10;13;22:34:50
48;501;51.2095;20.4887;5;10;13;22:42:45
49;493;51.2094;20.4888;5;10;13;22:45:34
50;495;51.2081;20.4888;5;10;13;22:53:03
51;497;51.2088;20.4888;5;10;13;22:55:14
52;497;51.2091;20.4887;5;10;13;23:08:17
53;493;51.2082;20.4888;5;10;13;23:17:06
54;494;51.2084;20.4887;5;10;13;23:28:29
55;497;51.2069;20.4888;5;10;13;23:32:46
56;497;51.2063;20.4888;5;10;13;23:35:25
57;500;51.2065;20.4888;5;10;13;23:47:16
58;498;51.2052;20.4889;5;10;13;23:54:25
59;494;51.2058;20.4889;5;10;13;23:57:22
60;496;51205;20.4889;6;10;14;00:04:05
61;487;51205;20.4885;6;10;14;00:33:06
62;484;51.2046;20.4885;6;10;14;00:35:46
63;491;51.2043;20.4884;6;10;14;00:39:41
64;491;51.2056;20.4879;6;10;14;01:01:10
65;483;51.2056;20.4879;6;10;14;01:03:39
66;491;51.2049;20.4877;6;10;14;01:12:26
67;485;51.2045;20.4878;6;10;14;01:21:49
68;488;51.2051;20.4878;6;10;14;01:26:07
69;483;51.2056;20.4874;6;10;14;01:36:09
70;485;51205;20.4874;6;10;14;01:46:46
71;482;51.2045;20.4874;6;10;14;01:53:06
72;487;51.2042;20.4873;6;10;14;02:15:16
73;483;51.2043;20.4872;6;10;14;02:25:32
74;479;51.2027;20.4871;6;10;14;02:58:31
75;477;51.2026;20.4872;6;10;14;03:04:50
76;480;51203;20.4871;6;10;14;03:08:35
77;481;51.2022;20.4872;6;10;14;03:25:45
78;475;51.2007;20.4869;6;10;14;04:10:54
79;474;51.2013;20.4867;6;10;14;04:27:22
80;478;51.2002;20.4867;6;10;14;04:54:50
81;449;48.6604;20.4858;6;10;14;05:11:47
82;435;48.6601;20.4856;6;10;14;05:16:37
83;432;48.6599;20.4857;6;10;14;05:22:37
84;430;48.6596;20.4856;6;10;14;05:30:56
85;423;48.6588;20.4857;6;10;14;05:33:27
86;427;48.6587;20.4861;6;10;14;05:40:02
87;417;48.6594;20.4863;6;10;14;05:48:28
88;423;48.6589;20.4877;6;10;14;06:13:43
89;422;48.6588;20.4881;6;10;14;06:19:05
90;421;48.6585;20.4884;6;10;14;06:21:26
91;423;48.6583;20.4888;6;10;14;06:28:20
92;422;48657;20.4905;6;10;14;06:53:18
93;422;48.6571;20.4906;6;10;14;06:54:25
94;420;48.6566;20.4907;6;10;14;06:56:13
95;426;48.6565;20.4909;6;10;14;06:59:32
96;422;48.6565;20.4912;6;10;14;07:03:00
97;429;48.6548;20.4935;6;10;14;07:38:39
98;415;48.6549;20.4937;6;10;14;07:44:34
